Event id,Asset affected,Status,Published,Start of event,End of event,Volume impact (MSm3/d),Volume impact (MSm3/d),Changed availability (MSm3/d),Changed availability (MSm3/d),Expected duration,Comments
Event id,Asset affected,Status,Published,Start of event,End of event,Within-day,Day-ahead,Within-day,Day-ahead,Expected duration,Comments
2020-320,Fields Delivering into SEGAL,Rev. 17,2020-10-10 14:22,2020-10-05 01:00,2020-10-10 14:22,-1.2,0.0,-1.2,0.0,,Labor strike cancelled. Startup evening 09.10.
