Event id,Asset affected,Status,Published,Start of event,End of event,Volume impact (MSm3/d),Volume impact (MSm3/d),Changed availability (MSm3/d),Changed availability (MSm3/d),Expected duration,Comments
Event id,Asset affected,Status,Published,Start of event,End of event,Within-day,Day-ahead,Within-day,Day-ahead,Expected duration,Comments
2020-358,Nyhamna,Rev. 10,2020-11-29 06:04,2020-11-27 06:00,,-50.0,0.0,-50.0,0.0,1-2 days,Planned startup during gasday 29.11.2020. Day ahead impact uncertain. Strike still ongoing.
